date,observed,trend,seasonal,residual
2012-10-01,16.1,11.516986301369862,1.6937229624069556,2.889290736223184
2012-10-02,13.9,11.51931506849315,0.7780608619503337,1.602624069556517
2012-10-03,13.35,11.532328767123287,1.060891912178644,0.7567793206980684
2012-10-04,13.6,11.547397260273973,1.6260517295302421,0.42655101019578434
2012-10-05,15.3,11.563424657534245,3.2893850628635755,0.44719027960218005
2012-10-06,15.85,11.570273972602738,4.403220679301932,-0.12349465190467068
2012-10-07,15.85,11.564109589041093,2.9183804966535307,1.3675099143053755
2012-10-08,14.45,11.551917808219175,1.5373302683430297,1.360751923437795
2012-10-09,12.5,11.541232876712327,-0.14472452617751894,1.1034916494651923
2012-10-10,10.25,11.537397260273972,-0.5424414211546877,-0.7449558391192839
2012-10-11,10.55,11.538219178082194,0.14134853318321133,-1.1295677112654048
2012-10-12,11.4,11.528219178082193,0.14162250578595098,-0.26984168386814317
2012-10-13,13.9,11.5213698630137,0.9764626884343528,1.402167448551948
2012-10-14,15.55,11.519041095890412,0.711805154187777,3.319153749921812
2012-10-15,14.15,11.51219178082192,0.33125720898229705,2.3065510101957827
2012-10-16,12.2,11.508356164383564,0.5138142866078668,0.17782954900856884
2012-10-17,10.25,11.514520547945208,-0.424359229373869,-0.8401613185713395
2012-10-18,12.25,11.511643835616441,0.5059147432288715,0.23244142115468724
2012-10-19,12.2,11.516849315068498,0.5011202226809262,0.18203046225057506
2012-10-20,8.6,11.519863013698636,-1.8203866266341429,-1.0994763870644935
2012-10-21,8.05,11.512328767123295,-1.8201583161318602,-1.6421704509914339
2012-10-22,5.55,11.497945205479457,-2.465135485081632,-3.4828097203978254
2012-10-23,8.35,11.485753424657538,-2.7431263526615415,-0.3926270719959972
2012-10-24,8.899999999999999,11.490273972602743,-2.9239026083693025,0.33362863576655766
2012-10-25,9.2,11.494109589041098,-1.8875099143053748,-0.40659967473572434
2012-10-26,9.15,11.505479452054796,-2.6372359417026354,0.2817564896478393
2012-10-27,11.9,11.512465753424658,-1.077966535309941,1.465500781885283
2012-10-28,12.2,11.512465753424658,-0.7280121974103984,1.4155464439857393
2012-10-29,12.8,11.507123287671234,-0.6941309188715858,1.9870076312003522
2012-10-30,13.6,11.503287671232878,-0.046414023894416456,2.1431263526615387
2012-10-31,13.35,11.508493150684933,-0.334039594670672,2.175546443985739
2012-11-01,12.8,11.520000000000001,-0.2373272659035481,1.5173272659035475
2012-11-02,12.8,11.537534246575342,-1.0086058047163327,2.2710715581409913
2012-11-03,13.35,11.56191780821918,-1.0947245261775207,2.8828067179583403
2012-11-04,15.3,11.592465753424658,-0.7962313754925883,4.503765622067931
2012-11-05,11.4,11.61986301369863,-0.9967336585976112,0.7768706448989813
2012-11-06,9.75,11.622191780821918,-1.245226809282542,-0.6269649715393761
2012-11-07,8.049999999999999,11.626027397260275,-2.6806149371364243,-0.8954124601238518
2012-11-08,5.55,11.643561643835616,-4.43796653530994,-1.6555951085256764
2012-11-09,5.0,11.667123287671233,-4.626870644898981,-2.040252642772252
2012-11-10,3.6,11.690000000000001,-5.277418590104461,-2.8125814098955404
2012-11-11,5.0,11.696164383561646,-5.641847813848752,-1.0543165697128938
2012-11-12,9.45,11.686986301369863,-4.136003064990305,1.8990167636204411
2012-11-13,9.45,11.668630136986302,-3.947053293300807,1.7284231563145047
2012-11-14,8.05,11.658082191780819,-6.078377494214049,2.4702953024332306
2012-11-15,6.1,11.665068493150685,-6.360751923437794,0.7956834302871094
2012-11-16,5.800000000000001,11.671095890410959,-6.829930005629574,0.9588341152186164
2012-11-17,9.15,11.677123287671233,-4.869838681428661,2.3427153937574285
2012-11-18,8.05,11.68027397260274,-4.989610370926377,1.359336398323638
2012-11-19,10.8,11.683972602739724,-3.7265053480953254,2.8425327453556024
2012-11-20,9.15,11.680136986301369,-5.081345530743729,2.5512085444423604
2012-11-21,6.1000000000000005,11.675479452054793,-6.017738224807655,0.4422587727528624
2012-11-22,5.85,11.66945205479452,-6.303126352661537,0.4836742978670161
2012-11-23,7.75,11.66876712328767,-4.821071558140989,0.9023044348533187
2012-11-24,6.4,11.664246575342466,-5.635729092387565,0.3714825170450995
2012-11-25,4.7,11.661232876712328,-4.653445987364734,-2.307786889347594
2012-11-26,5.55,11.65972602739726,-3.6234003252642775,-2.486325702132983
2012-11-27,5.85,11.662739726027398,-2.8794733846250087,-2.93326634140239
2012-11-28,5.800000000000001,11.664931506849317,-5.402989366360169,-0.46194214048914795
2012-11-29,10.3,11.65958904109589,-6.670934571839618,5.311345530743729
2012-11-30,11.4,11.66027397260274,-6.023993932570214,5.763719959967474
2012-12-01,10.8,11.663287671232878,-5.205044160880717,4.34175648964784
2012-12-02,7.75,11.667808219178083,-7.95554644398574,4.037738224807657
2012-12-03,8.3,11.676986301369864,-7.3412085444423605,3.9642222430724976
2012-12-04,9.45,11.69972602739726,-6.963719959967475,4.713993932570214
2012-12-05,6.65,11.726438356164383,-7.705226809282544,2.628788453118161
2012-12-06,6.65,11.74931506849315,-7.614587539876151,2.5152724713830015
2012-12-07,5.55,11.763013698630138,-8.474496215675236,2.2614825170450983
2012-12-08,5.0,11.77684931506849,-7.75107155814099,0.9742222430724992
2012-12-09,4.75,11.785342465753425,-7.175866078688935,0.1405236129355094
2012-12-10,6.4,11.791506849315068,-4.596094389191219,-0.795412460123849
2012-12-11,6.699999999999999,11.786986301369863,-5.997098955401264,0.9101126540314004
2012-12-12,5.550000000000001,11.788630136986303,-6.830706261337339,0.5920761243510366
2012-12-13,5.25,11.796301369863015,-6.016824982798525,-0.5294763870644896
2012-12-14,3.6,11.803150684931508,-6.389108087821357,-1.8140425971101513
2012-12-15,2.5,11.808630136986302,-5.2790624257209,-4.029567711265402
2012-12-16,5.0,11.809452054794523,-5.478057859510853,-1.3313941952836696
2012-12-17,5.0,11.82164383561644,-6.313902608369301,-0.5077412272471387
2012-12-18,2.25,11.834520547945207,-7.502304434853319,-2.0822161130918877
2012-12-19,5.0,11.839178082191783,-7.0558660786889345,0.21668799649715176
2012-12-20,3.9,11.833150684931507,-6.574085256771125,-1.3590654281603811
2012-12-21,3.3000000000000003,11.829315068493152,-5.292532745355602,-3.2367823231375494
2012-12-22,6.1000000000000005,11.845342465753426,-4.6481035216113105,-1.0972389441421146
2012-12-23,5.25,11.86205479452055,-5.037281603803091,-1.5747731907174582
2012-12-24,4.199999999999999,11.87054794520548,-7.526505348095328,-0.1440425971101531
2012-12-25,4.199999999999999,11.88041095890411,-8.067007631200351,0.38659667229624084
2012-12-26,5.0,11.891780821917807,-8.543080690561078,1.651299868643271
2012-12-27,5.55,11.90013698630137,-7.018331832113592,0.6681948458122227
2012-12-28,6.1000000000000005,11.917671232876712,-6.924130918871584,1.1064596859948725
2012-12-29,4.15,11.933561643835615,-8.678423156314503,0.8948615124788883
2012-12-30,2.2,11.95794520547945,-9.517372928004002,-0.24057227747544907
2012-12-31,1.1,11.982328767123288,-9.991893475949208,-0.8904352911740805
2013-01-01,1.1,12.00054794520548,-10.168194845812222,-0.7323530993932579
2013-01-02,2.5,12.01958904109589,-8.144998498780259,-1.3745905423156302
2013-01-03,2.5,12.027260273972601,-8.80335466316382,-0.7239056108087816
2013-01-04,6.1,12.030273972602739,-6.959975667730031,1.029701695127292
2013-01-05,5.550000000000001,12.034794520547944,-5.964039594670668,-0.5207549258772755
2013-01-06,5.0,12.032465753424656,-6.7814368549446415,-0.25102889848001464
2013-01-07,7.2,12.028767123287668,-5.865546443985739,1.0367793206980709
2013-01-08,8.649999999999999,12.0386301369863,-5.38472452617752,1.996094389191219
2013-01-09,5.85,12.04013698630137,-6.05266973165697,-0.1374672546443998
2013-01-10,1.35,12.031780821917808,-6.434998498780258,-4.24678232313755
2013-01-11,0.0,12.023287671232877,-6.353445987364734,-5.669841683868143
2013-01-12,-0.55,12.023287671232877,-7.538834115218615,-5.034453556014263
2013-01-13,-1.1,12.024109589041096,-7.6239482704697545,-5.500161318571341
2013-01-14,0.5499999999999998,12.03780821917808,-8.377738224807654,-3.110069994370427
2013-01-15,3.0500000000000003,12.051506849315068,-7.445181147182084,-1.556325702132983
2013-01-16,1.1,12.052191780821918,-7.63079758553825,-3.321394195283668
2013-01-17,0.55,12.058356164383563,-8.387920873209483,-3.120435291174079
2013-01-18,1.1,12.06068493150685,-7.193765622067932,-3.7669193094389186
2013-01-19,0.25,12.067534246575343,-8.415044160880713,-3.4024900856946303
2013-01-20,1.35,12.066027397260276,-7.948879777319073,-2.7671476199412037
2013-01-21,0.2500000000000001,12.075068493150688,-9.601162882341903,-2.223905610808785
2013-01-22,0.7999999999999999,12.095616438356165,-7.405957402889848,-3.889659035466317
2013-01-23,4.7,12.109315068493151,-5.639564708825921,-1.7697503596672304
2013-01-24,4.15,12.115342465753425,-4.804404891474324,-3.1609375742791013
2013-01-25,6.699999999999999,12.125068493150689,-4.236687996497156,-1.1883804966535338
2013-01-26,6.1000000000000005,12.1327397260274,-5.537920873209485,-0.4948188528179154
2013-01-27,4.75,12.129726027397265,-6.0907519234377965,-1.2889741039594682
2013-01-28,4.699999999999999,12.130410958904113,-5.461436854944645,-1.9689741039594688
2013-01-29,6.65,12.138082191780827,-4.920066991930945,-0.5680151998498815
2013-01-30,7.800000000000001,12.135753424657539,-6.210477950835053,1.8747245261775154
2013-01-31,8.3,12.131232876712332,-6.032487083255145,2.2012542065428136
2013-02-01,8.35,12.126712328767127,-5.9376012385062875,2.1608889097391604
2013-02-02,4.449999999999999,12.127534246575346,-6.956779320698068,-0.7207549258772783
2013-02-03,5.85,12.118356164383563,-7.402167448551948,1.1338112841683845
2013-02-04,8.65,12.109178082191782,-7.27810352161131,3.8189254394195284
2013-02-05,8.35,12.11,-7.392989366360167,3.6329893663601673
2013-02-06,8.35,12.12219178082192,-7.196551010195784,3.424359229373864
2013-02-07,6.35,12.129726027397261,-7.331436854944642,1.5517108275473808
2013-02-08,5.0,12.135068493150683,-6.3834916494651885,-0.7515768436854948
2013-02-09,6.3500000000000005,12.138904109589038,-6.4201126540313975,0.6312085444423596
2013-02-10,5.3,12.135890410958902,-5.472441421154686,-1.3634489898042164
2013-02-11,6.3500000000000005,12.13054794520548,-4.638834115218614,-1.1417138299868652
2013-02-12,9.15,12.126712328767121,-2.154724526177517,-0.8219878025896041
2013-02-13,8.3,12.1258904109589,-2.867053293300804,-0.9588371176580961
2013-02-14,7.5,12.112876712328765,-3.7948158503784315,-0.8180608619503333
2013-02-15,9.15,12.102328767123286,-4.355409457684367,1.4030806905610813
2013-02-16,7.5,12.093972602739724,-4.618514480515417,0.024541877775693166
2013-02-17,6.9,12.101643835616436,-4.939245074122724,-0.2623987614937118
2013-02-18,5.85,12.10712328767123,-5.7435829736661015,-0.5135403140051293
2013-02-19,6.15,12.108630136986301,-5.542030462250578,-0.416599674735723
2013-02-20,4.45,12.11712328767123,-5.6420304622505775,-2.0250928254206526
2013-02-21,5.3,12.128630136986299,-6.2769163069994365,-0.5517138299868627
2013-02-22,5.85,12.136986301369863,-6.929975667730031,0.642989366360168
2013-02-23,6.95,12.149999999999999,-6.381756489647839,1.1817564896478405
2013-02-24,6.95,12.150684931506847,-6.581756489647838,1.3810715581409916
2013-02-25,6.949999999999999,12.160547945205478,-5.0024870832551445,-0.2080608619503339
2013-02-26,6.4,12.169726027397259,-4.155500781885282,-1.6142252455119763
2013-02-27,7.2,12.179726027397258,-4.740614937136423,-0.23911109026083555
2013-02-28,9.2,12.188082191780818,-4.007007631200349,1.0189254394195295
2013-03-01,13.05,12.19712328767123,-4.472395759054229,5.325272471382999
2013-03-02,9.45,12.209315068493149,-4.740066991930943,1.9807519234377935
2013-03-03,6.65,12.224520547945204,-4.923856946268843,-0.650663601676361
2013-03-04,6.65,12.243561643835616,-4.9069163069994355,-0.6866453368361798
2013-03-05,7.75,12.25191780821918,-3.153856946268843,-1.3480608619503363
